[hint] Windows 抓包通常需要管理员权限，并安装 Npcap (建议勾选 WinPcap API-compatible Mode)。
[capture] started on interface=以太网 filter=tcp or udp
[capture] total=52 written=0 db_written=0 pps=51.6 bps=77604.1
[capture] total=53 written=53 db_written=53 pps=0.9 bps=199.3
[capture] total=113 written=53 db_written=53 pps=57.2 bps=12448.3
[capture] total=137 written=134 db_written=134 pps=23.2 bps=3665.6
[capture] total=153 written=134 db_written=134 pps=15.4 bps=2223.0
[capture] total=167 written=165 db_written=165 pps=13.6 bps=8022.7
[capture] total=186 written=165 db_written=165 pps=18.2 bps=7763.2
[capture] total=219 written=218 db_written=218 pps=31.6 bps=13143.0
[capture] total=285 written=218 db_written=218 pps=64.0 bps=186744.3
[capture] total=404 written=324 db_written=324 pps=117.9 bps=92373.2
[capture] total=762 written=324 db_written=324 pps=356.1 bps=132763.8
[capture] total=950 written=940 db_written=940 pps=185.3 bps=186128.6
[capture] total=1050 written=940 db_written=940 pps=98.9 bps=53953.4
[capture] total=1089 written=1080 db_written=1080 pps=38.5 bps=41393.0
[capture] total=1139 written=1080 db_written=1080 pps=49.4 bps=37344.5
[capture] total=1159 written=1158 db_written=1158 pps=19.8 bps=9233.3
[capture] total=1175 written=1158 db_written=1158 pps=15.8 bps=11147.6
[capture] total=1217 written=1216 db_written=1216 pps=41.5 bps=30425.6
[capture] total=1282 written=1216 db_written=1216 pps=64.6 bps=73458.4
[capture] total=1682 written=1543 db_written=1543 pps=395.4 bps=333401.1
[capture] total=1843 written=1543 db_written=1543 pps=160.1 bps=255887.9
[capture] total=2032 written=2022 db_written=2022 pps=186.7 bps=150160.4
[capture] total=2288 written=2022 db_written=2022 pps=252.1 bps=91338.7
[capture] total=2366 written=2362 db_written=2362 pps=76.8 bps=28066.6
[capture] total=2423 written=2362 db_written=2362 pps=56.9 bps=35106.4
[capture] total=2458 written=2457 db_written=2457 pps=34.9 bps=10648.2
[capture] total=2538 written=2457 db_written=2457 pps=78.8 bps=23659.1
[capture] total=2617 written=2615 db_written=2615 pps=77.8 bps=19786.3
[capture] total=2741 written=2615 db_written=2615 pps=122.4 bps=232804.5
[capture] total=2851 written=2846 db_written=2846 pps=108.4 bps=87222.9
[capture] total=2869 written=2846 db_written=2846 pps=17.8 bps=3718.8
[capture] total=2882 written=2880 db_written=2880 pps=13.0 bps=6052.6
[capture] total=3227 written=2880 db_written=2880 pps=340.4 bps=310985.3
[capture] total=3492 written=3483 db_written=3483 pps=261.5 bps=164565.0
[capture] total=3679 written=3483 db_written=3483 pps=184.4 bps=101882.4
[capture] total=3898 written=3892 db_written=3892 pps=216.8 bps=149216.8
[capture] total=4024 written=3892 db_written=3892 pps=123.9 bps=115155.9
[capture] total=4158 written=4151 db_written=4151 pps=132.0 bps=87246.7
[capture] total=4253 written=4151 db_written=4151 pps=93.6 bps=71462.5
[capture] total=4379 written=4374 db_written=4151 pps=124.2 bps=88208.0
[capture] total=4493 written=4374 db_written=4374 pps=112.4 bps=85065.1
[capture] total=4621 written=4619 db_written=4374 pps=125.1 bps=89791.3
[capture] total=4719 written=4619 db_written=4619 pps=97.3 bps=83382.0
[capture] total=4821 written=4619 db_written=4619 pps=101.6 bps=83906.9
[capture] total=4923 written=4824 db_written=4824 pps=100.9 bps=84569.3
[capture] total=4949 written=4824 db_written=4824 pps=25.9 bps=11417.3
[capture] total=4967 written=4949 db_written=4949 pps=18.0 bps=1954.5
[capture] total=4987 written=4949 db_written=4949 pps=19.7 bps=4619.6
[capture] total=5114 written=4987 db_written=4987 pps=125.1 bps=57435.7
[capture] total=5136 written=4987 db_written=4987 pps=21.7 bps=7660.8
[capture] total=5169 written=5136 db_written=5136 pps=32.5 bps=21323.4
[capture] total=5239 written=5136 db_written=5136 pps=69.7 bps=40648.0
[capture] total=5308 written=5239 db_written=5239 pps=68.1 bps=35513.2
[capture] total=5354 written=5239 db_written=5239 pps=45.3 bps=15524.1
[capture] total=5373 written=5354 db_written=5354 pps=18.7 bps=1347.7
[capture] total=5417 written=5354 db_written=5354 pps=43.6 bps=16968.9
[capture] total=5441 written=5418 db_written=5418 pps=23.9 bps=4980.5
[capture] total=5475 written=5418 db_written=5418 pps=33.9 bps=9312.9
[capture] total=5587 written=5483 db_written=5483 pps=110.5 bps=198153.2
[capture] total=5740 written=5483 db_written=5483 pps=150.5 bps=190666.6
[capture] total=6180 written=5769 db_written=5769 pps=435.1 bps=155888.6
[capture] total=6265 written=5769 db_written=5769 pps=84.0 bps=112450.7
[capture] total=6337 written=6289 db_written=6289 pps=71.2 bps=49488.7
[capture] total=6407 written=6289 db_written=6289 pps=69.1 bps=14317.8
[capture] total=6456 written=6440 db_written=6440 pps=48.3 bps=11812.6
[capture] total=6470 written=6440 db_written=6440 pps=13.8 bps=1773.5
[capture] total=6477 written=6471 db_written=6471 pps=6.9 bps=3096.4
[capture] total=6492 written=6471 db_written=6471 pps=14.8 bps=1782.9
[capture] total=6529 written=6496 db_written=6496 pps=36.8 bps=8847.8
[capture] total=6550 written=6496 db_written=6496 pps=20.8 bps=2335.9
[capture] total=6596 written=6552 db_written=6552 pps=45.9 bps=19746.3
[capture] total=6689 written=6552 db_written=6552 pps=92.9 bps=34982.3
[capture] total=9058 written=6804 db_written=6804 pps=2347.9 bps=3334610.0
[capture] total=9157 written=6804 db_written=6804 pps=97.5 bps=54811.8
[capture] total=9566 written=9459 db_written=9459 pps=398.3 bps=575162.7
[capture] total=9695 written=9459 db_written=9459 pps=128.1 bps=89086.5
[capture] total=9732 written=9698 db_written=9698 pps=36.7 bps=11842.7
[capture] total=9840 written=9698 db_written=9698 pps=107.2 bps=24779.0
[capture] total=9989 written=9902 db_written=9902 pps=146.6 bps=239142.3
[capture] total=10002 written=9902 db_written=9902 pps=13.0 bps=1876.3
[capture] total=10088 written=10008 db_written=10008 pps=84.9 bps=80540.4
[capture] total=10104 written=10008 db_written=10008 pps=15.7 bps=2825.3
[capture] total=10197 written=10157 db_written=10157 pps=91.8 bps=30838.5
[capture] total=10285 written=10157 db_written=10157 pps=86.8 bps=23898.4
[capture] total=10303 written=10296 db_written=10296 pps=17.7 bps=5170.1
[capture] total=10341 written=10296 db_written=10296 pps=37.4 bps=13572.0
[capture] total=10379 written=10362 db_written=10362 pps=37.7 bps=7773.8
[capture] total=10400 written=10362 db_written=10362 pps=20.8 bps=10661.2
